"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 02 12:13:38 WAT 2022","Fri Dec 02 12:13:43 WAT 2022","5118","Default Suite","pom.xml","SeleniumWebsignupTest","SeleniumWebsignupTest","clickUser1Item","clickUser1Item",""
"passed","Fri Dec 02 12:13:32 WAT 2022","Fri Dec 02 12:13:36 WAT 2022","3131","Default Suite","pom.xml","SeleniumWebsignupTest","SeleniumWebsignupTest","openSignUpPage","openSignUpPage",""
"passed","Fri Dec 02 12:13:56 WAT 2022","Fri Dec 02 12:14:05 WAT 2022","8520","Default Suite","pom.xml","SeleniumWebsignupTest","SeleniumWebsignupTest","negativeSignUpInvalidEmailAddress","negativeSignUpInvalidEmailAddress",""
"passed","Fri Dec 02 12:13:36 WAT 2022","Fri Dec 02 12:13:38 WAT 2022","2231","Default Suite","pom.xml","SeleniumWebsignupTest","SeleniumWebsignupTest","positiveSignUp","positiveSignUp",""
"passed","Fri Dec 02 12:13:28 WAT 2022","Fri Dec 02 12:13:32 WAT 2022","4602","Default Suite","pom.xml","SeleniumWebsignupTest","SeleniumWebsignupTest","getUrl","getUrl",""
"passed","Fri Dec 02 12:13:45 WAT 2022","Fri Dec 02 12:13:56 WAT 2022","11168","Default Suite","pom.xml","SeleniumWebsignupTest","SeleniumWebsignupTest","negativeSignUpInvalidUsername","negativeSignUpInvalidUsername",""
"passed","Fri Dec 02 12:13:43 WAT 2022","Fri Dec 02 12:13:44 WAT 2022","628","Default Suite","pom.xml","SeleniumWebsignupTest","SeleniumWebsignupTest","verifyItem","verifyItem",""
"broken","Fri Dec 02 11:41:07 WAT 2022","Fri Dec 02 11:41:07 WAT 2022","5","Default Suite","pom.xml","SeleniumWebsignupTest","SeleniumWebsignupTest","start","start",""
"passed","Fri Dec 02 12:14:15 WAT 2022","Fri Dec 02 12:14:26 WAT 2022","11323","Default Suite","pom.xml","SeleniumWebsignupTest","SeleniumWebsignupTest","negativeSignUpBlankFields","negativeSignUpBlankFields",""
"passed","Fri Dec 02 12:14:05 WAT 2022","Fri Dec 02 12:14:15 WAT 2022","10255","Default Suite","pom.xml","SeleniumWebsignupTest","SeleniumWebsignupTest","negativeSignUpInvalidPassword","negativeSignUpInvalidPassword",""
"passed","Fri Dec 02 12:13:44 WAT 2022","Fri Dec 02 12:13:45 WAT 2022","1361","Default Suite","pom.xml","SeleniumWebsignupTest","SeleniumWebsignupTest","logoutsuccessfully","logoutsuccessfully",""
